so_ho_khau,id_chu_ho,dia_chi,thoi_gian_xac_thuc,id_nguoi_xac_thuc,trang_thai,ghi_chu,ten_chu_ho
HK0132,NK0291,Số nhà 32 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-06-11,17,Chưa xác thực,mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,Ngô Vương Triều
HK0133,NK0489,Số nhà 33 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,2022-12-11,7,Đã xác thực,nisl ut volutpat sapien arcu,Nguyễn Bạch Vân
HK0134,NK0290,Số nhà 34 Đường Trần Đại Nghĩa Phường Tân Định Thành phố Hồ Chí Minh,2022-07-13,11,Đã xác thực,,Lý Thụy Nương
HK0135,NK0492,Số nhà 35 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,2023-01-07,20,Đã xác thực,,Ngô Nguyên Phong
HK0136,NK0102,Số nhà 36 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-07-13,1,Đã xác thực,,Phan Trí Dũng
HK0137,NK0208,Số nhà 37 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,2022-09-14,8,Đã xác thực,,Đỗ Thu Phương
HK0138,NK0218,Số nhà 38 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,2022-04-27,31,Đã xác thực,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,Phan Hải Châu
HK0139,NK0480,Số nhà 39 Đường Nguyễn Huệ Phường Tân Định Thành phố Hồ Chí Minh,2022-03-24,18,Chưa xác thực,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,Ngô Quang Hưng
HK0140,NK0427,Số nhà 40 Đường Trần Phú Phường Quận 3 Thành phố Hồ Chí Minh,2022-06-11,47,Đã xác thực,,Lý Yên Bằng
HK0141,NK0361,Số nhà 41 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-09-04,25,Đã xác thực,,Ngô Huy Thành
HK0142,NK0268,Số nhà 42 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,2022-06-25,8,Chưa xác thực,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,Phan Ngọc Huệ
HK0143,NK0234,Số nhà 43 Đường Trần Đại Nghĩa Phường Tân Định Thành phố Hồ Chí Minh,2022-10-11,18,Chưa xác thực,,Đỗ Mai Hạ
HK0144,NK0228,Số nhà 44 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,2023-01-13,47,Đã xác thực,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,Hoàng Nghĩa Dũng
HK0145,NK0020,Số nhà 45 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-09-20,32,Chưa xác thực,,Lê Phương Phương
HK0146,NK0131,Số nhà 46 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,2022-05-10,44,Chưa xác thực,est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,Hoàng Ngân Anh
HK0147,NK0089,Số nhà 47 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,2022-05-25,14,Đã xác thực,in lectus pellentesque at nulla suspendisse potenti cras in purus eu,Hoàng Hoàng Quân
