so_can_cuoc,dac_diem_nhan_dang,ho_ten,ten_khac,ngay_sinh,gioi_tinh,que_quan,thuong_tru,tam_tru,quoc_tich,dan_toc,so_ho_chieu,trang_thai,ngay_xac_thuc,id_nguoi_xac_thuc,ghi_chu,quan_he_chu_ho
NK0087,,Lý Hoàng Thái,Scotty,1995-10-02,Nam,Thừa Thiên Huế,Số nhà 9 Đường Lê Hồng Phong Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0087,Chưa xác thực,2023-01-27,"",,
NK0088,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,Ngô Oanh,,2001-10-26,Nam,Nam Định,Số nhà 90 Đường Trần Đại Nghĩa Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0088,Đã xác thực,2022-04-08,443,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,
NK0089,,Hoàng Hoàng Quân,Hobie,1991-07-09,Nữ,Bình Thuận,Số nhà 41 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0089,Chưa xác thực,2022-10-25,"",,
NK0090,,Đỗ Phụng,My,1987-04-26,Nữ,Phú Yên,Số nhà 100 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0090,Đã xác thực,2022-02-22,110,,
NK0091,,Nguyễn Thụy Ðào,,1974-03-14,Nam,Hà Nội,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0091,Chưa xác thực,2023-01-09,"",,
NK0092,,Lý Thế Doanh,Junina,1970-11-23,Nam,Thành phố Hồ Chí Minh,Số nhà 41 Đường Nguyễn Văn Linh Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0092,Chưa xác thực,2022-06-23,"",,
NK0093,id turpis integer aliquet massa id lobortis convallis tortor risus,Nguyễn Trung Hải,,1962-10-25,Nam,Thái Bình,Số nhà 42 Đường Nguyễn Văn Trỗi Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0093,Chưa xác thực,2022-09-13,"",sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,
NK0094,,Đỗ Ninh,,2004-10-01,Nam,Hà Nội,Số nhà 52 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0094,Đã xác thực,2022-07-18,323,,
NK0095,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,Lý Minh Cảnh,Rickie,2015-10-23,Nam,Thành phố Hồ Chí Minh,Số nhà 29 Đường Võ Văn Kiệt Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0095,Đã xác thực,2022-03-16,6,sem fusce consequat nulla nisl nunc nisl duis bibendum felis,
NK0096,mauris eget massa tempor convallis nulla,Lê Cao Thọ,,2002-12-02,Nữ,Hà Nội,Số nhà 16 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0096,Đã xác thực,2022-02-18,88,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,
NK0097,,Hoàng Cẩm Tú,Shalom,2006-02-03,Nữ,Thành phố Hồ Chí Minh,Số nhà 31 Đường Trần Phú Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0097,Chưa xác thực,2022-04-09,"",,
NK0098,,Lý Thanh Minh,Una,2022-07-30,Khác,Quảng Ngãi,Số nhà 42 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Thái,HC0098,Chưa xác thực,2022-08-15,"",,
NK0099,,Hồ Tiểu My,Morris,1972-06-04,Nữ,Hà Nội,Số nhà 85 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0099,Đã xác thực,2022-09-26,162,,
NK0100,,Hoàng Minh Trí,Teressa,1991-11-04,Nam,Hà Nội,Số nhà 92 Đường Trần Bình Trọng Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0100,Đã xác thực,2022-09-20,27,,
NK0101,id nisl venenatis lacinia aenean sit,Nguyễn Minh Nhật,Lorine,1964-04-20,Nam,Đắk Lắk,Số nhà 62 Đường Lê Văn Lương Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0101,Chưa xác thực,2022-03-11,"",dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,
NK0102,,Phan Trí Dũng,Korrie,2006-10-29,Nữ,Hà Nội,Số nhà 27 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0102,Đã xác thực,2022-09-02,139,,
NK0103,,Hoàng Quang Ninh,,2004-11-24,Nữ,Hà Nội,Số nhà 44 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0103,Chưa xác thực,2023-01-03,"",,
NK0104,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,Đỗ Tâm Nhi,Warden,1995-01-16,Nữ,Bắc Kạn,Số nhà 7 Đường Nguyễn Đình Chiểu Phường Quận 2 Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0104,Đã xác thực,2022-07-10,319,magnis dis parturient montes nascetur,
NK0105,,Lê Hoàng Khôi,Ninnette,2002-02-06,Nữ,Thành phố Hồ Chí Minh,Số nhà 68 Đường Lê Văn Lương Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0105,Chưa xác thực,2022-06-29,"",,
NK0106,,Phan Nga,Pauletta,1977-11-29,Nữ,Thành phố Hồ Chí Minh,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0106,Đã xác thực,2022-08-26,220,,
NK0107,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,Võ Ngọc Hải,Jeremias,2001-05-26,Nam,Quảng Ninh,Số nhà 97 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0107,Đã xác thực,2022-07-24,403,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis,
NK0108,,Phan Phước Lộc,,1973-01-11,Nam,Thành phố Hồ Chí Minh,Số nhà 93 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0108,Đã xác thực,2022-04-06,21,,
NK0109,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet,Lê Tuyết Vân,,1990-04-16,Nữ,Kiên Giang,Số nhà 13 Đường Phan Văn Trị Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Thái,HC0109,Đã xác thực,2022-07-27,227,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,
NK0110,tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat,Phan Tường Anh,,1986-03-04,Nam,Thành phố Hồ Chí Minh,Số nhà 94 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0110,Đã xác thực,2022-10-30,15,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,
NK0111,,Ngô Nguyên Phong,,1968-04-08,Nam,Thành phố Hồ Chí Minh,Số nhà 8 Đường Đề Thám Phường Đa Kao Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0111,Đã xác thực,2023-02-08,379,,
NK0112,,Đỗ Bích Hiền,Fraze,2013-03-14,Khác,Hà Nội,Số nhà 38 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0112,Đã xác thực,2022-02-15,98,,
NK0113,,Lý Ðức Sinh,Bank,1998-12-29,Nam,Hà Nội,Số nhà 15 Đường Đồng Xoài Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0113,Chưa xác thực,2022-09-28,"",,
NK0114,,Võ Bá Cường,Shena,1968-02-04,Khác,Thành phố Hồ Chí Minh,Số nhà 37 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0114,Chưa xác thực,2022-10-21,"",,
NK0115,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,Lê Diệu Anh,Ingemar,2005-09-13,Nam,Thành phố Hồ Chí Minh,Số nhà 15 Đường Đồng Xoài Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0115,Chưa xác thực,2022-07-08,"",quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,
NK0116,,Hoàng Anh Duy,Raynell,2004-05-31,Nam,Ninh Bình,Số nhà 2 Đường Trần Hưng Đạo Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0116,Chưa xác thực,2022-12-21,"",,
NK0117,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,Lê Tuyết Vân,Spence,2001-12-21,Nữ,Hà Nội,Số nhà 35 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0117,Chưa xác thực,2022-04-07,"",eros viverra eget congue eget semper rutrum,
NK0118,,Ngô Huy Thành,,2001-02-11,Nữ,Bà Rịa – Vũng Tàu,Số nhà 7 Đường Nguyễn Đình Chiểu Phường Quận 2 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0118,Đã xác thực,2022-06-08,316,,
NK0119,,Lê Tùng Anh,,1973-03-11,Nam,Yên Bái,Số nhà 2 Đường Trần Hưng Đạo Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0119,Chưa xác thực,2022-10-14,"",,
NK0120,convallis nunc proin at turpis a pede posuere,Đặng Chi Lan,Valentin,2011-01-02,Nữ,Thành phố Hồ Chí Minh,Số nhà 58 Đường Trần Quốc Tuấn Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Thái,HC0120,Chưa xác thực,2022-03-10,"",cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,
NK0121,,Võ Ngọc Cường,Cody,1987-07-26,Nữ,Quảng Ngãi,Số nhà 33 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0121,Chưa xác thực,2023-01-30,"",,
NK0122,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,Hoàng Trung Thành,Vanni,1968-12-26,Nam,Cần Thơ,Số nhà 72 Đường Trần Đại Nghĩa Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0122,Chưa xác thực,2022-09-14,"",commodo vulputate justo in blandit ultrices enim,
NK0123,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,Lý Hậu,,1971-02-05,Nam,Nghệ An,Số nhà 41 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0123,Đã xác thực,2022-10-03,3,aenean auctor gravida sem praesent id massa,
NK0124,,Hoàng Trường Nam,,2012-06-24,Khác,Thành phố Hồ Chí Minh,Số nhà 73 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0124,Đã xác thực,2022-03-16,275,,
NK0125,,Lý Hạ Vũ,,1997-10-15,Nam,Điện Biên,Số nhà 30 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0125,Đã xác thực,2023-02-05,473,,
NK0126,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,Lý Huy Lĩnh,,1975-08-03,Khác,Bắc Ninh,Số nhà 20 Đường Lê Lợi Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0126,Chưa xác thực,2022-10-22,"",vestibulum proin eu mi nulla,
NK0127,,Lý Thụy Nương,,1998-09-23,Nữ,Thành phố Hồ Chí Minh,Số nhà 42 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0127,Đã xác thực,2022-11-26,130,,
NK0128,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,Ngô Quốc Huy,,1967-11-26,Nam,Nghệ An,Số nhà 31 Đường Trần Phú Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0128,Đã xác thực,2022-07-07,123,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,
NK0129,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,Hồ Phụng,Ram,1993-11-14,Nam,Thành phố Hồ Chí Minh,Số nhà 32 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0129,Chưa xác thực,2022-09-20,"",libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,
NK0130,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis,Lý Minh Cảnh,Wiley,1974-11-04,Nam,Hà Giang,Số nhà 46 Đường Trần Đại Nghĩa Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Hoa,HC0130,Đã xác thực,2022-12-30,95,mattis nibh ligula nec sem duis aliquam convallis nunc,
NK0131,,Hoàng Ngân Anh,,2014-03-07,Nữ,Hà Nội,Số nhà 24 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0131,Chưa xác thực,2022-09-11,"",,
NK0132,,Nguyễn Hải Bình,,2022-05-20,Nam,Thành phố Hồ Chí Minh,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0132,Chưa xác thực,2022-03-21,"",,
NK0133,pretium iaculis diam erat fermentum justo nec condimentum,Lý Minh Cảnh,,1993-02-22,Nữ,Bắc Ninh,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0133,Đã xác thực,2022-04-17,25,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,
NK0134,,Đỗ Hà Anh,,2002-08-31,Nam,Kon Tum,Số nhà 77 Đường Nguyễn Thị Minh Khai Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0134,Chưa xác thực,2022-10-31,"",,
NK0135,augue luctus tincidunt nulla mollis molestie,Hoàng Từ Ðông,,1994-12-25,Nữ,Trà Vinh,Số nhà 78 Đường Trần Đại Nghĩa Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0135,Đã xác thực,2022-07-03,467,molestie sed justo pellentesque viverra pede ac diam cras,
NK0136,duis ac nibh fusce lacus purus aliquet,Hoàng Ðình Ðôn,,1974-12-02,Nữ,Cần Thơ,Số nhà 16 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0136,Đã xác thực,2022-10-30,312,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,
NK0137,,Phạm Nguyên Phong,Jeramey,2015-05-06,Nữ,Bắc Ninh,Số nhà 82 Đường Trần Quốc Toản Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0137,Chưa xác thực,2022-04-08,"",,
NK0138,,Hồ Tiểu My,Ulrick,1973-07-22,Nữ,Hà Nội,Số nhà 9 Đường Trần Phú Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0138,Chưa xác thực,2022-07-22,"",,
NK0139,tincidunt nulla mollis molestie lorem,Lý Gia Hưng,Gunther,1999-04-23,Khác,Điện Biên,Số nhà 56 Đường Trần Bình Trọng Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0139,Đã xác thực,2022-04-15,175,sagittis sapien cum sociis natoque penatibus et magnis,
NK0140,,Ngô Thăng Long,,1999-05-17,Nam,Thành phố Hồ Chí Minh,Số nhà 6 Đường Nguyễn Trãi Phường Bình Tân Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0140,Đã xác thực,2022-12-20,313,,
NK0141,,Lê Duy Ngôn,,1962-08-26,Nữ,Nghệ An,Số nhà 99 Đường Nguyễn Văn Cừ Phường Quận 8 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0141,Đã xác thực,2022-10-19,167,,
NK0142,,Phan Vân Khánh,Alejoa,2014-02-24,Nữ,Kon Tum,Số nhà 50 Đường Nguyễn Văn Trỗi Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0142,Đã xác thực,2022-11-05,414,,
NK0143,,Nguyễn Minh Nhật,,1989-06-05,Nam,Thành phố Hồ Chí Minh,Số nhà 75 Đường Nguyễn Văn Cừ Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0143,Đã xác thực,2022-08-24,326,,
NK0144,,Hoàng Công Ân,,1979-12-03,Nữ,Quảng Ninh,Số nhà 9 Đường Trần Phú Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0144,Chưa xác thực,2023-01-11,"",,
NK0145,,Hoàng Thiên Hương,Dorothea,2016-01-29,Nữ,Thành phố Hồ Chí Minh,Số nhà 32 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0145,Chưa xác thực,2022-02-20,"",,
NK0146,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate,Nguyễn Lâm Viên,Shandee,1994-05-07,Nam,Hà Nội,Số nhà 30 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0146,Đã xác thực,2022-08-20,492,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,
NK0147,,Phan Gia Bảo,Darcy,1988-03-01,Nữ,Thành phố Hồ Chí Minh,Số nhà 92 Đường Trần Bình Trọng Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0147,Chưa xác thực,2022-12-21,"",,
NK0148,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,Nguyễn Quỳnh Chi,Stormie,1990-05-05,Nam,Tiền Giang,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0148,Đã xác thực,2022-04-11,377,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,
NK0149,,Ngô Quốc Hạnh,Konstantine,2014-01-06,Nam,Sóc Trăng,Số nhà 7 Đường Võ Văn Tần Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0149,Chưa xác thực,2022-12-08,"",,
NK0150,,Lê Phương Phương,,2002-07-13,Nữ,Sóc Trăng,Số nhà 30 Đường Nguyễn Huệ Phường Tân Định Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0150,Đã xác thực,2022-05-02,42,,
NK0151,,Lý Xuân Trang,Sidney,1995-07-08,Nữ,Lâm Đồng,Số nhà 70 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Tày,HC0151,Đã xác thực,2023-01-14,475,,
NK0152,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,Ngô Nhật Duy,Orelee,1974-04-29,Nam,Bắc Ninh,Số nhà 6 Đường Nguyễn Trãi Phường Bình Tân Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0152,Chưa xác thực,2023-01-25,"",platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,
NK0153,,Đỗ Tâm Nhi,Loralee,1972-07-21,Nữ,Hà Nội,Số nhà 25 Đường Trần Đại Nghĩa Phường Tân Định Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0153,Đã xác thực,2022-07-29,173,,
NK0154,,Đỗ Thanh Kiều,,2010-10-02,Khác,Quảng Bình,Số nhà 28 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0154,Chưa xác thực,2022-11-10,"",,
NK0155,,Hoàng Thanh Giang,,1989-08-28,Khác,Thành phố Hồ Chí Minh,Số nhà 22 Đường Trần Phú Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0155,Đã xác thực,2022-07-16,358,,
NK0156,,Đặng Thúy,Maximo,1965-04-24,Nữ,Thành phố Hồ Chí Minh,Số nhà 73 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Hoa,HC0156,Đã xác thực,2022-08-16,82,,
NK0157,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Đặng Phương Thảo,,1994-12-01,Nữ,Quảng Ngãi,Số nhà 79 Đường Lê Văn Lương Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0157,Đã xác thực,2022-03-25,160,morbi ut odio cras mi pede malesuada in,
NK0158,porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,Hồ Thiên Thư,,2000-08-25,Nữ,Hà Nội,Số nhà 48 Đường Trần Bình Trọng Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Hoa,HC0158,Chưa xác thực,2023-01-06,"",ante ipsum primis in faucibus orci luctus et,
NK0159,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Hoàng Minh Trí,,2012-06-03,Nam,Lai Châu,Số nhà 26 Đường Đồng Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0159,Chưa xác thực,2022-10-27,"",lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,
NK0160,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,Phan Thanh Thu,,1977-01-27,Nam,Phú Thọ,Số nhà 41 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0160,Đã xác thực,2022-05-31,51,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,
NK0161,,Ngô Mai Thảo,,2000-10-21,Nam,Bến Tre,Số nhà 79 Đường Lê Văn Lương Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0161,Đã xác thực,2022-05-11,136,,
NK0162,,Trần Duy Hiếu,Fleur,1976-02-06,Nữ,Thành phố Hồ Chí Minh,Số nhà 44 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0162,Đã xác thực,2022-05-15,247,,
NK0163,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,Lê Diễm Chi,,1985-06-09,Nữ,Bình Dương,Số nhà 21 Đường Đồng Khởi Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0163,Đã xác thực,2022-05-07,80,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,
NK0164,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,Nguyễn Hữu Toàn,,1986-09-09,Nữ,Thành phố Hồ Chí Minh,Số nhà 89 Đường Nguyễn Thị Minh Khai Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0164,Chưa xác thực,2023-01-03,"",viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,
NK0165,,Phan Cẩm Liên,Ker,2002-01-21,Nữ,Hà Nội,Số nhà 70 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0165,Chưa xác thực,2022-04-13,"",,
NK0166,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,Võ Hoàng Khang,,2005-04-04,Nữ,Hậu Giang,Số nhà 28 Đường Trần Đại Nghĩa Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0166,Chưa xác thực,2022-04-24,"",lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,
NK0167,,Phan Quỳnh Anh,Violette,2021-05-27,Nam,Phú Yên,Số nhà 27 Đường Lê Đại Hành Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0167,Chưa xác thực,2022-10-12,"",,
NK0168,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,Phan Quang Triều,Eleonore,1979-11-23,Nam,Nghệ An,Số nhà 15 Đường Đồng Xoài Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0168,Đã xác thực,2023-02-03,293,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,
NK0169,,Đặng Hảo,,1988-05-25,Nam,Thành phố Hồ Chí Minh,Số nhà 85 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0169,Đã xác thực,2022-09-14,219,,
NK0170,,Lý Thanh Dân,Maressa,1962-11-13,Nữ,Bình Dương,Số nhà 27 Đường Lê Đại Hành Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0170,Đã xác thực,2022-09-17,322,,
NK0171,,Lý Thanh Minh,Ruthanne,2009-07-23,Nữ,Hà Nội,Số nhà 7 Đường Nguyễn Đình Chiểu Phường Quận 2 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0171,Chưa xác thực,2022-06-19,"",,
NK0172,,Nguyễn Bình An,,2017-01-29,Nam,Bình Dương,Số nhà 40 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0172,Chưa xác thực,2022-03-28,"",,
NK0173,eleifend donec ut dolor morbi vel lectus in quam,Phan Anh Quân,Electra,1973-09-17,Nam,Thành phố Hồ Chí Minh,Số nhà 36 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0173,Đã xác thực,2022-12-05,57,in felis donec semper sapien a libero nam dui proin leo odio,
NK0174,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,Hoàng Hữu Bảo,Drusi,2018-11-29,Nam,Lâm Đồng,Số nhà 97 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0174,Chưa xác thực,2022-12-29,"",vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,
